,num_contacts_traced,num_positive_contacts,contact_tracing_time,num_sympt_patients_traced,hcw_time_of_infection,hcw_current_ward,num_sympt_hcws_traced,day,sim,prevalence,n_total,n_pos,pos_rate
9137,9,1,82.52777777777777,0.0,80.22222222222223,12.0,1.0,82.0,60.0,0.1067193675889328,1123.0,65.0,11.11111111111111
9138,5,1,97.76388888888889,16.0,94.0,2.0,0.0,97.0,60.0,0.2394822006472491,1225.0,151.0,20.0
9139,9,2,84.67361111111111,1.0,79.125,12.0,1.0,84.0,60.0,0.1397849462365591,1151.0,86.0,22.22222222222222
9140,5,0,103.19444444444444,0.0,97.0,27.0,0.0,103.0,60.0,0.2053872053872054,1197.0,115.0,0.0
9141,9,0,97.84027777777776,1.0,93.77777777777776,24.0,3.0,97.0,60.0,0.2394822006472491,1221.0,152.0,0.0
9142,15,0,95.98611111111111,1.0,91.0,11.0,0.0,95.0,60.0,0.2571428571428571,1227.0,169.0,0.0
9143,4,0,92.0625,5.0,87.0,4.0,0.0,92.0,60.0,0.2771929824561403,1198.0,166.0,0.0
9144,12,1,91.1875,5.0,86.0,6.0,0.0,91.0,60.0,0.25,1184.0,158.0,8.333333333333332
9145,7,0,113.96527777777776,5.0,110.0,1.0,0.0,113.0,60.0,0.1603053435114503,1141.0,63.0,0.0
9146,16,1,91.77777777777776,2.0,85.77777777777777,14.0,1.0,91.0,60.0,0.25,1180.0,158.0,6.25
9147,5,1,124.45833333333331,2.0,120.0,1.0,0.0,124.0,60.0,0.0674157303370786,1149.0,35.0,20.0
9148,8,0,85.95138888888889,1.0,79.625,12.0,1.0,85.0,60.0,0.1423487544483986,1157.0,103.0,0.0
9149,12,0,93.125,1.0,86.125,25.0,0.0,93.0,60.0,0.2582781456953642,1210.0,169.0,0.0
9150,9,0,109.8125,1.0,106.5625,14.0,0.0,109.0,60.0,0.1724137931034483,1177.0,82.0,0.0
9151,14,1,94.29166666666669,1.0,89.0,14.0,1.0,94.0,60.0,0.2770700636942675,1224.0,173.0,7.142857142857142
9152,13,2,94.67361111111111,1.0,89.95833333333333,10.0,1.0,94.0,60.0,0.2770700636942675,1225.0,172.0,15.384615384615385
9153,7,0,75.38194444444444,0.0,70.0,6.0,0.0,75.0,60.0,0.012,1122.0,22.0,0.0
9154,10,1,98.54861111111111,15.0,93.70833333333331,1.0,0.0,98.0,60.0,0.2271186440677966,1206.0,144.0,10.0
9155,11,1,89.09722222222223,1.0,83.0,28.0,0.0,89.0,60.0,0.2179930795847751,1184.0,148.0,9.090909090909092
9156,12,0,94.52083333333331,1.0,90.0,12.0,0.0,94.0,60.0,0.2770700636942675,1226.0,174.0,0.0
9157,8,0,87.1875,1.0,84.0,8.0,0.0,87.0,60.0,0.1892857142857142,1167.0,126.0,0.0
9158,13,0,93.4375,1.0,86.72222222222223,25.0,1.0,93.0,60.0,0.2582781456953642,1209.0,169.0,0.0
9159,13,1,86.09722222222223,0.0,82.0,18.0,0.0,86.0,60.0,0.176056338028169,1156.0,115.0,7.6923076923076925
9160,5,0,128.25694444444446,3.0,123.25,1.0,1.0,128.0,60.0,0.0497925311203319,1121.0,24.0,0.0
9161,10,0,100.39583333333331,7.0,92.0,10.0,0.0,100.0,60.0,0.2300319488817891,1218.0,143.0,0.0
9162,8,1,109.43055555555556,3.0,107.0,6.0,0.0,109.0,60.0,0.1724137931034483,1178.0,81.0,12.5
9163,12,0,198.63194444444449,0.0,195.0,19.0,0.0,198.0,60.0,0.0087719298245614,1093.0,2.0,0.0
9164,10,0,93.94444444444444,1.0,89.0625,24.0,0.0,93.0,60.0,0.2582781456953642,1212.0,169.0,0.0
9165,11,0,107.44444444444444,0.0,100.0,11.0,0.0,107.0,60.0,0.194078947368421,1186.0,94.0,0.0
9166,9,1,90.02083333333333,0.0,84.61111111111111,21.0,1.0,90.0,60.0,0.2076124567474048,1190.0,147.0,11.11111111111111
9167,4,0,85.72916666666667,0.0,84.0,9.0,0.0,85.0,60.0,0.1423487544483986,1161.0,103.0,0.0
9168,9,1,88.04861111111111,0.0,86.0,15.0,0.0,88.0,60.0,0.1937716262975778,1179.0,133.0,11.11111111111111
9169,6,0,89.59722222222223,4.0,86.0,7.0,0.0,89.0,60.0,0.2179930795847751,1189.0,149.0,0.0
9170,15,0,107.45833333333331,0.0,102.45833333333331,15.0,2.0,107.0,60.0,0.194078947368421,1182.0,94.0,0.0
9171,7,0,126.66666666666669,0.0,123.0,22.0,0.0,126.0,60.0,0.0562248995983935,1126.0,27.0,0.0
9172,16,0,140.70833333333334,0.0,136.0,12.0,0.0,140.0,60.0,0.0222222222222222,1132.0,7.0,0.0
9173,10,0,91.79861111111111,0.0,86.0,20.0,0.0,91.0,60.0,0.25,1186.0,159.0,0.0
9174,7,1,98.77083333333331,1.0,94.51388888888889,10.0,0.0,98.0,60.0,0.2271186440677966,1209.0,144.0,14.285714285714285
9175,9,0,72.72916666666667,1.0,67.94444444444444,20.0,1.0,72.0,60.0,0.0153256704980842,1126.0,21.0,0.0
9176,9,0,69.67361111111111,0.0,62.0,20.0,2.0,69.0,60.0,0.0080971659919028,1108.0,11.0,0.0
9177,10,0,102.31944444444444,2.0,96.0,7.0,0.0,102.0,60.0,0.2079207920792079,1192.0,116.0,0.0
9178,9,0,100.69444444444444,0.0,99.0,10.0,1.0,100.0,60.0,0.2300319488817891,1219.0,143.0,0.0
9179,13,1,95.20138888888889,1.0,89.61111111111111,14.0,0.0,95.0,60.0,0.2571428571428571,1229.0,168.0,7.6923076923076925
