,Total_transmission,P-N_count,P-HC_count,N-P_count,N-HC_count,N-N_count,HC-P_count,HC-N_count,HC-HC_count,HCW_community_trans_count,Total_trans_non_covid_wards,Total_trans_covid_wards,Asympt_patient_admission_count,Exposed_patient_admission_count,Total_patients_admitted,Num_susceptible_patients,num_replacement_hcw,trans_counts_from_pre_symptomatic,trans_counts_from_symptomatic,trans_counts_from_assymptomatic,Trans_count_patients,P-N,P-HC,N-P,N-HC,N-N,HC-P,HC-N,HC-HC
59,254.0,66.0,21.0,103.0,10.0,17.0,30.0,6.0,1.0,152.0,245.0,9.0,0.0,2.0,10125.0,9965.0,214.0,178.0,5.0,71.0,133.0,25.984251968503937,8.26771653543307,40.55118110236221,3.937007874015748,6.692913385826771,11.811023622047244,2.3622047244094486,0.3937007874015748
60,268.0,81.0,24.0,108.0,9.0,17.0,23.0,5.0,1.0,122.0,256.0,12.0,2.0,1.0,9880.0,9719.0,205.0,184.0,6.0,78.0,131.0,30.223880597014926,8.955223880597014,40.298507462686565,3.3582089552238807,6.343283582089552,8.582089552238806,1.8656716417910448,0.373134328358209
61,366.0,109.0,28.0,148.0,11.0,19.0,43.0,5.0,3.0,111.0,355.0,11.0,1.0,1.0,9899.0,9739.0,219.0,251.0,5.0,110.0,191.0,29.781420765027324,7.6502732240437155,40.43715846994535,3.0054644808743167,5.191256830601093,11.748633879781421,1.366120218579235,0.819672131147541
62,310.0,85.0,30.0,112.0,6.0,22.0,42.0,12.0,1.0,126.0,298.0,12.0,0.0,2.0,9967.0,9807.0,220.0,219.0,4.0,87.0,154.0,27.419354838709676,9.67741935483871,36.12903225806452,1.935483870967742,7.096774193548387,13.548387096774194,3.870967741935484,0.3225806451612903
63,244.0,63.0,26.0,84.0,6.0,14.0,39.0,11.0,1.0,127.0,235.0,9.0,1.0,2.0,9919.0,9758.0,196.0,184.0,7.0,53.0,123.0,25.81967213114754,10.655737704918034,34.42622950819672,2.459016393442623,5.737704918032787,15.98360655737705,4.508196721311475,0.4098360655737705
64,297.0,73.0,34.0,124.0,5.0,22.0,33.0,3.0,3.0,115.0,286.0,11.0,0.0,5.0,9911.0,9748.0,201.0,211.0,5.0,81.0,157.0,24.579124579124578,11.447811447811448,41.75084175084175,1.6835016835016836,7.407407407407407,11.11111111111111,1.0101010101010102,1.0101010101010102
65,346.0,88.0,24.0,158.0,10.0,24.0,31.0,9.0,2.0,147.0,331.0,15.0,0.0,3.0,9865.0,9704.0,252.0,250.0,7.0,89.0,189.0,25.433526011560694,6.936416184971098,45.664739884393065,2.8901734104046244,6.936416184971098,8.959537572254336,2.601156069364162,0.5780346820809249
66,307.0,80.0,36.0,120.0,11.0,22.0,30.0,7.0,1.0,127.0,293.0,14.0,1.0,1.0,9617.0,9457.0,216.0,203.0,5.0,99.0,150.0,26.058631921824105,11.726384364820847,39.08794788273616,3.583061889250814,7.166123778501628,9.77198697068404,2.2801302931596092,0.3257328990228013
67,174.0,51.0,19.0,66.0,4.0,12.0,19.0,3.0,0.0,117.0,163.0,11.0,0.0,0.0,9831.0,9673.0,161.0,105.0,6.0,63.0,85.0,29.310344827586206,10.919540229885058,37.93103448275862,2.2988505747126435,6.896551724137931,10.919540229885058,1.7241379310344827,0.0
68,271.0,70.0,26.0,96.0,4.0,16.0,45.0,10.0,4.0,128.0,261.0,10.0,0.0,3.0,9898.0,9737.0,200.0,187.0,3.0,81.0,141.0,25.830258302583026,9.59409594095941,35.42435424354244,1.4760147601476015,5.904059040590406,16.605166051660518,3.690036900369004,1.4760147601476015
69,309.0,84.0,31.0,123.0,9.0,28.0,31.0,2.0,1.0,112.0,292.0,17.0,1.0,3.0,10025.0,9863.0,214.0,223.0,4.0,82.0,154.0,27.184466019417474,10.032362459546926,39.80582524271845,2.912621359223301,9.06148867313916,10.032362459546926,0.6472491909385113,0.32362459546925565
70,335.0,84.0,34.0,116.0,11.0,29.0,49.0,9.0,3.0,119.0,324.0,11.0,1.0,1.0,9682.0,9522.0,242.0,244.0,6.0,85.0,165.0,25.074626865671643,10.149253731343284,34.62686567164179,3.283582089552239,8.656716417910447,14.626865671641792,2.6865671641791047,0.8955223880597015
71,316.0,84.0,33.0,123.0,6.0,20.0,40.0,9.0,1.0,123.0,302.0,14.0,0.0,6.0,9779.0,9615.0,209.0,219.0,7.0,90.0,163.0,26.582278481012658,10.443037974683545,38.924050632911396,1.8987341772151898,6.329113924050633,12.658227848101266,2.848101265822785,0.31645569620253167
72,343.0,94.0,37.0,129.0,10.0,18.0,43.0,11.0,1.0,114.0,330.0,13.0,1.0,3.0,9987.0,9825.0,231.0,248.0,9.0,86.0,172.0,27.40524781341108,10.787172011661808,37.60932944606414,2.9154518950437316,5.247813411078718,12.536443148688047,3.206997084548105,0.2915451895043732
73,364.0,90.0,37.0,133.0,12.0,33.0,48.0,9.0,2.0,131.0,342.0,22.0,1.0,2.0,9972.0,9811.0,260.0,259.0,12.0,93.0,181.0,24.725274725274726,10.164835164835164,36.53846153846154,3.2967032967032965,9.065934065934066,13.186813186813186,2.4725274725274726,0.5494505494505495
74,313.0,76.0,28.0,119.0,10.0,22.0,40.0,15.0,3.0,119.0,298.0,15.0,0.0,3.0,9914.0,9753.0,214.0,218.0,5.0,90.0,159.0,24.28115015974441,8.945686900958467,38.019169329073485,3.194888178913738,7.0287539936102235,12.779552715654953,4.792332268370607,0.9584664536741214
75,251.0,66.0,22.0,103.0,10.0,13.0,28.0,8.0,1.0,113.0,239.0,12.0,1.0,1.0,10022.0,9862.0,186.0,184.0,5.0,62.0,131.0,26.294820717131476,8.764940239043824,41.03585657370518,3.9840637450199203,5.179282868525896,11.155378486055778,3.187250996015936,0.398406374501992
76,310.0,83.0,35.0,120.0,6.0,18.0,38.0,9.0,1.0,131.0,294.0,16.0,2.0,3.0,10009.0,9846.0,217.0,227.0,5.0,78.0,158.0,26.774193548387096,11.290322580645162,38.70967741935484,1.935483870967742,5.806451612903226,12.258064516129032,2.903225806451613,0.3225806451612903
